row_idx,subject,text,task_name,label,split,fold,held_out_subject,true_label_id,pred_label_id,true_label_name,pred_label_name,prob_NR,prob_TSR
0,YAC,"Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.",NR,0,test,1,YAC,0,1,NR,TSR,0.047203660011291504,0.9527963995933533
1,YAC,"After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.",NR,0,test,1,YAC,0,1,NR,TSR,0.032018788158893585,0.9679811596870422
2,YAC,"With his interest in race cars, he formed a second company, the Henry Ford Company.",NR,0,test,1,YAC,0,1,NR,TSR,0.038540344685316086,0.9614596962928772
3,YAC,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.",NR,0,test,1,YAC,0,1,NR,TSR,0.02850406803190708,0.9714959263801575
4,YAC,"Ford was forced out of the company by the investors, including Henry M. Leland in 1902, and the company was reorganized as Cadillac.",NR,0,test,1,YAC,0,1,NR,TSR,0.028584565967321396,0.9714154005050659
5,YAC,"In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.",NR,0,test,1,YAC,0,1,NR,TSR,0.036355677992105484,0.9636443853378296
6,YAC,"These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year.",NR,0,test,1,YAC,0,1,NR,TSR,0.040356557816267014,0.9596434235572815
7,YAC,"Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.",NR,0,test,1,YAC,0,1,NR,TSR,0.0379035510122776,0.9620963931083679
8,YAC,"In the years between the wars, Henry Ford supported Adolf Hitler's Nazi regime.",NR,0,test,1,YAC,0,1,NR,TSR,0.03414559364318848,0.9658544063568115
9,YAC,There is also some evidence that Henry Ford gave Adolf Hitler direct financial backing when Hitler was first starting out in politics.,NR,0,test,1,YAC,0,1,NR,TSR,0.03308495506644249,0.9669150710105896
10,YAC,"This can in part be traced to statements from Kurt Ludecke, Germany's representative to the U.S. in the 1920s, and Winifred Wagner, daughter-in-law of Richard Wagner, who said they requested funds from Ford to aid the National Socialist movement in Germany.",NR,0,test,1,YAC,0,1,NR,TSR,0.035930197685956955,0.9640698432922363
11,YAC,"Although Ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees Clarence Avery, Peter E. Martin, Charles E. Sorensen, and C.H. Wills.",NR,0,test,1,YAC,0,1,NR,TSR,0.028591763228178024,0.9714081883430481
12,YAC,Henry Ford advocated long-time associate Harry Bennett to take the spot.,NR,0,test,1,YAC,0,1,NR,TSR,0.029955897480249405,0.9700441360473633
13,YAC,"Edsel's widow Eleanor, who had inherited Edsel's voting stock, wanted her son Henry Ford II to take over the position.",NR,0,test,1,YAC,0,1,NR,TSR,0.03562206029891968,0.9643779397010803
14,YAC,"Alexander Rae Baldwin III (born April 3, 1958, in Massapequa, Long Island, New York, USA) is an American actor who is the oldest and best known of the ""Baldwin brothers"", with brothers Daniel, Stephen and William.",NR,0,test,1,YAC,0,1,NR,TSR,0.04195520281791687,0.9580448269844055
15,YAC,He is of three quarters Irish and one quarter French descent.,NR,0,test,1,YAC,0,1,NR,TSR,0.038622595369815826,0.9613773822784424
16,YAC,"Baldwin has appeared in movies such as The Cooler, The Hunt for Red October, Beetlejuice, Ghosts of Mississippi, Talk Radio, Final Fantasy: The Spirits Within (voice), The Cat in the Hat, Pearl Harbor, Thomas and the Magic Railroad, Along Came Polly, The SpongeBob SquarePants Movie, and The Aviator.",NR,0,test,1,YAC,0,1,NR,TSR,0.0351048968732357,0.9648951292037964
17,YAC,"When Baldwin was young, he had a job as a busboy at famous New York City disco Studio 54.",NR,0,test,1,YAC,0,1,NR,TSR,0.03382102772593498,0.9661789536476135
18,YAC,He was married to actress Kim Basinger from 1993 to 2002.,NR,0,test,1,YAC,0,1,NR,TSR,0.03077104315161705,0.969228982925415
19,YAC,"Baldwin, a liberal Democrat, has always had an active interest in politics and is frequently rumored to be a candidate for public office.",NR,0,test,1,YAC,0,1,NR,TSR,0.02773256227374077,0.9722674489021301
20,YAC,"In particular, Baldwin is one of the most frequent hosts of Saturday Night Live, leading the show eleven times and also making cameo appearances regularly.",NR,0,test,1,YAC,0,1,NR,TSR,0.03797181323170662,0.9620282053947449
21,YAC,He played William Barrett Travis in a movie about the Alamo called Thirteen Days of Glory.,NR,0,test,1,YAC,0,1,NR,TSR,0.038259293884038925,0.9617406725883484
22,YAC,"In 1998, he began narrating the American version of the children's series Thomas the Tank Engine and Friends.",NR,0,test,1,YAC,0,1,NR,TSR,0.030924424529075623,0.9690755605697632
23,YAC,"He is infamous for his 1994 appearance on Saturday Night Live as he potrays Mr. Armstrong, a scoutmaster who is a pedophile, he rips his shirt and puts his mouth around Adam Sandler's neck.",NR,0,test,1,YAC,0,1,NR,TSR,0.02760792151093483,0.9723921418190002
24,YAC,"In 1954 she, along with Bing Crosby, Danny Kaye, and Vera-Ellen, starred in the movie White Christmas.",NR,0,test,1,YAC,0,1,NR,TSR,0.02497296966612339,0.9750270247459412
25,YAC,"Clooney's first recordings, in May of 1946 were for Columbia Records as a singer with the big band of Tony Pastor.",NR,0,test,1,YAC,0,1,NR,TSR,0.0331733301281929,0.9668266773223877
26,YAC,"Rosemary Clooney was married three times, twice to Jose Ferrer (from 1953 until 1961 and then again from 1964 to 1967) by whom she had five children, including actor Miguel Ferrer, born in 1955, and Gabriel Ferrer, born 1956, who married Debby Boone, and once to Dante DePaolo (whom she married in 1997).",NR,0,test,1,YAC,0,1,NR,TSR,0.02783597633242607,0.9721640348434448
27,YAC,"Rosemary, Betty, and brother, Nick, as well as her nephew, George Clooney (Nick's son), all became entertainers.",NR,0,test,1,YAC,0,1,NR,TSR,0.026956627145409584,0.9730433821678162
28,YAC,In 1945 the Clooney sisters won a spot on Cincinnati's radio station WLW as singers.,NR,0,test,1,YAC,0,1,NR,TSR,0.032138895243406296,0.9678611159324646
29,YAC,"She was born in Maysville, Kentucky, about 60 miles up the Ohio River from Cincinnati, Ohio to Andrew Joseph Clooney and Frances Marie Guilfoyle, both of whom were of Irish descent (Rosemary's paternal great-grandparents, Nicholas Clooney and Bridget Byron, were born in Ireland), although Clooney's paternal grandmother, Crescentia Koch, was German.",NR,0,test,1,YAC,0,1,NR,TSR,0.028583500534296036,0.9714165329933167
30,YAC,"In 1958, Clooney left Columbia, doing a number of recordings for MGM Records and then some for Coral Records.",NR,0,test,1,YAC,0,1,NR,TSR,0.03034847043454647,0.9696515798568726
31,YAC,"Finally, toward the end of 1958, she signed with RCA Victor Records, where she stayed until 1963 except for doing some recordings in 1960 for Reprise Records.",NR,0,test,1,YAC,0,1,NR,TSR,0.030227890238165855,0.9697721004486084
32,YAC,"In 1964 she went to Reprise again, shifting the next year to Dot Records.",NR,0,test,1,YAC,0,1,NR,TSR,0.027889203280210495,0.9721107482910156
33,YAC,In 1966 she went to United Artists Records.,NR,0,test,1,YAC,0,1,NR,TSR,0.02565326914191246,0.9743467569351196
34,YAC,"In 1986 she sang a duet with Wild Man Fischer on ""It's a Hard Business"".",NR,0,test,1,YAC,0,1,NR,TSR,0.023551534861326218,0.9764484167098999
35,YAC,"On January 28, 2005 it was revealed that he accepted money from the George W. Bush administration to promote their marriage initiative program, which he did not disclose to his readers.",NR,0,test,1,YAC,0,1,NR,TSR,0.028970520943403244,0.9710294604301453
36,YAC,"He is assumed to be the son of Richard Bush and Mary Fairbanks both of Dedham, Massachusetts.",NR,0,test,1,YAC,0,1,NR,TSR,0.02731495164334774,0.9726850390434265
37,YAC,By training he was a blacksmith but when the American Revolution broke out militia Captain Bush led a company of soldiers for the Continental Army.,NR,0,test,1,YAC,0,1,NR,TSR,0.030877843499183655,0.9691221714019775
